,SITE_GUBUN,PART_GROUP_ID,PART_SUB_ID,PART_ID,KEYWORD_GUBUN,RLT_VALUE_01,RLT_VALUE_02,RLT_VALUE_03,RLT_VALUE_04,RLT_VALUE_05,RLT_VALUE_06,RLT_VALUE_07,RLT_VALUE_08,RLT_VALUE_09,RLT_VALUE_10
0,G,P02,S25,152457,0,촉촉하고,올인원,티트리,진정,보습,2.27,2.21,1.49,1.23,0.93
1,G,P02,S25,152457,1,다만 티트리 향이 강해서 호불호가 있을 수 있어요,올리브영 올인원 진정 로션으로 추천드립니다,사용감도 끈적이지 않고 산뜻해서 피부결이 매끈해졌어요,요즘 피부 트러블로 고생인데 확실히 피부 자극 없이 사용하기 좋았어요,여드름성피부 사용 적합 테스트 통과 피지량 감소 테스트 등을 거친 제품입니다,,,,,
2,G,P04,S09,153479,1,9구 중에 매트는 4개 뿐이고 대부분이 글리터와 쉬머로 이루어져 있어서 펄 메이크업을 좋아하는 분들에게 추천해요,발색과 밀착력은 작년에 나왔던 밀키뉴이어 보다 더 좋은 것 같습니다,,,,,,,,
3,G,P04,S09,152492,0,세럼,촉촉,팩을,얼굴에,브이,4.56,4.2,2.8,2.18,2.15
4,G,P04,S09,152492,1,지금 겨울철에 쓰기 딱좋은 제품 요즘 피부도 거칠어지고 피부도 쳐지는것같았는데 요 마스크팩하나 붙혀주면 피부탄력은 물론이고 진짜 얼굴에 앰플한통은 때려박은듯한 수분가득 보습력 짱짱 이다,피부가 휴식이 필요하거나 영양이 필요할때 사용하면 좋을 것 같아요,세럼이 가득하게 들어있어서 피부에 아주 잘 스며들어서 좋았네요,촉촉산틋 보습이 되는느낌ㅣ일1팩입니다,에센스가 듬뿍들어있어서 피부에 스며드는기분이 좋아요시트도 적당하구요,,,,,
5,G,P02,S25,2361,0,향이,남친,남성,향은,수분크림,3.48,2.82,2.06,1.54,1.48
6,G,P02,S25,2361,1,동생이 사용하고 있길래 써보니 향에 민감한 저이지만 향이 쎄지 않아서 좋더라구요그리고 전 얼굴보단 몸에 발라주는데 촉촉하고 끈적임 없어서 좋아요,순하고 향도 독하지 않고촉촉하면서도 잔여감 없이 가볍고 산뜻해서 여성분이 사용해도 무방한 제품브랜드 자체가 남성 브랜드에서 찾기 힘든 자연주의 지향 브랜드라 유해성분이 거의 없을줄 알았는데 화해 보니까 그건 아니군그래도 알바하면서 이십대 초반 남성분들이 로션 찾으실 때전 그런 거 잘 모르는데 그냥 뭐 없을까요하시면 이거랑 비욘드 안내해드림남성제품 이벤트 당첨돼서 받았다가 줄 사람이 없어서남친도 없는 게 왜 그런 이벤트를 신청해서  하며 자괴감을 들게 한 제품지인에게 만오천원에 넘겼지만사실 올영에서 원쁠원이나 사십퍼세일 자주함 후후우르오스만 주구장창 쓰던 지인이이거 쓰고선 좋다고 재구매할거라고 연락옴그는 아직 올영에서 더 싸게 살 수 있다는 사실을 모르는 것 같음,수분크림 대용으로 이것만 지금 3개월째 쓰고 있어요씻고난 뒤 발라주면 보습 짱,남편이 우르오스 쓰다가 바꾸고싶어해서 고른거예요가급적 동물실험 인하는 브랜드로 찾았는데이건 자연친화적이기까지 하네요향료가 따로 들어가있지않고허브유래 오일에서 나는 향이 전부인 것 같더라고요역하지않아서 저도 남편도 맘에 들어요남편말로는 우르오스보다 이게 촉촉함은 훨씬 오래간다고 하네요만족도가 아주 높다고 입에 침이 마르도록 칭찬을 하길래 그래하면서 저도 써봤거든요여름철엔 제가 써도 무방할 정도였고 끈적임없이 흡수되면서 건조한 느낌 없더라구요초가을에는 오일 섞어서도 가끔 썼어요트러블 없었지만 조금 더 쌀쌀해지자 저한텐 건조하더라고요남편지성은 요즘도 잘 쓰네요추천추천해요,대부분의 남성 화장품이 기름기를 잡으려고 해서 건조하고 자극이 심한데 이 제품은 여자들이 사용해도 좋을 정도로 촉촉하고 부드럽네요,,,,,
7,G,P02,S10,110602,0,남자,입술,발색,자연스럽게,립밤,2.76,2.74,2.12,2.03,1.87
8,G,P02,S10,110602,1,발색색깔아주좋다디자인도 가지고다니기 좋은디자인ㅎ 하지만 보습력이 많이 약하다 보습립밤따로바르고나서 바르면 굿,저는 진짜 좋게 썼습니다남자들이 사용할만한 색상이 나오는발색립밤입니다,립밤치곤 가격이 높은편입니다하지만 남자 발색립밤중에선 이제품을 따라올수있는건 없어요적당한 발색 촉촉하지만 미끌거리지않고 사용감 좋습니다,지금까지 쓴 화장품이란 거 중에 제일 잘샀다고 생각하는 거임 처음엔 잘 쓸 줄 몰라서 친구들이 왤케 섹시해보이냐 뭐 발랐냐 그랬는데 지금은 딱 보기좋게 색깔 나온다고함 촉촉한 거는 전에 쓰던게 좀 낫지만 나쁘진 않은 편임 림밤은 이거 계속 쓸 듯,가운데만 발색 되는데 자리를 잘 잡고 발라야 하고 바르고 입술로 좀 비비면 자연스러운 색상이 나옴립밤 부분이 고정이 잘 안돼고 매번 흔들려있고 살짝 빠져있는 느낌무난무난한 발색립밤,,,,,
9,G,P02,S10,133443,0,발색이,컬러,팔레트,남자,표현할,1.95,1.6,1.59,1.54,1.07
