SITE_GUBUN,PART_GROUP_ID,PART_SUB_ID,PART_ID,KEYWORD_GUBUN,KEYWORD_POSITIVE,RLT_VALUE_01,RLT_VALUE_02,RLT_VALUE_03,RLT_VALUE_04,RLT_VALUE_05,RLT_VALUE_06,RLT_VALUE_07,RLT_VALUE_08,RLT_VALUE_09,RLT_VALUE_10
G,P02,S25,152457,0,P,촉촉하고,올인원,진정,보습,산뜻,2.59,2.15,1.33,1.14,0.85
G,P02,S25,152457,1,P,남성분들은 면도 후에 피부 진정템으로 좋을 것 같아요,요즘 피부 트러블로 고생인데 확실히 피부 자극 없이 사용하기 좋았어요,사용감도 끈적이지 않고 산뜻해서 피부결이 매끈해졌어요,올리브영 올인원 진정 로션으로 추천드립니다,택배로 받자마자 남편에게 발라보라고 했더니 산뜻하면서도 촉촉해서 요즘 건조했는데 바르기 딱 좋다고 하네요,,,,,
G,P04,S09,152492,0,P,세럼,촉촉,브이,얼굴에,양이,5.04,2.7,2.63,2.06,1.91
G,P04,S09,152492,1,P,세럼이 가득하게 들어있어서 피부에 아주 잘 스며들어서 좋았네요,에센스가 듬뿍들어있어서 피부에 스며드는기분이 좋아요시트도 적당하구요,진짜 촉촉하고 수분감도 최고에요,따라서 사용감 역시 평균 이상 제일 중요한 속당김 없음다만 개인적으로 초큼 아쉬운 점이 한 가지 있다면 흡수속도가 느려서 손으로 통통통 두드려주거나 열심히 싹싹 비빈 손바닥을 한동안 올려줘야된다는 것 물론 순전히 피부컨디션의 문제일 수도 있다1회 사용시 23일간 피부 상태가 최상을 달림 화장 올리기 너무 편했다마지막으로 향에 대단히 민감하신 향믈리에 어머니의 평가를 단숨에 통과했다는데서 보통 아이템이 아니라는 결론을 내림 시중에 판매되는 마스크팩에 비하면 가격대가 좀 있는 편이나 효능은 확실하다 급할때 비상용으로 활용하기 좋을듯,스며드는 느낌 잔여감 산뜻하고 좋았어요,,,,,
G,P04,S09,152492,0,N,촉촉,마스크팩,,,,0.35,0.35,,,
G,P04,S09,152492,1,N,희한하게 마스크팩만큼은 조금만 피부에 맞지 않아도 붉게 올라오거나 가려움증을 느끼는 타입인데 이 제품은 사용전후로 불편함이 전무했다,팩이 촉촉해도 금방 수분 사라지는게 많았는데 이건 촉촉함이 오래가네요,탄력과 브라이트닝은 더 오래 써봐야 효과를 알 수 있겠지만 팩에 대한 만족감은 높구요,팩 자체에도 충분히 세럼이 스며있어요,주1회정도 각질제거를 하지만 각질제거할때만 촉촉한것같이느껴지더라구요,,,,,
G,P02,S25,2361,0,P,향이,민감,촉촉,끈적임,산뜻,2.51,1.43,1.06,1.05,1.03
G,P02,S25,2361,1,P,동생이 사용하고 있길래 써보니 향에 민감한 저이지만 향이 쎄지 않아서 좋더라구요그리고 전 얼굴보단 몸에 발라주는데 촉촉하고 끈적임 없어서 좋아요,남편이 우르오스 쓰다가 바꾸고싶어해서 고른거예요가급적 동물실험 인하는 브랜드로 찾았는데이건 자연친화적이기까지 하네요향료가 따로 들어가있지않고허브유래 오일에서 나는 향이 전부인 것 같더라고요역하지않아서 저도 남편도 맘에 들어요남편말로는 우르오스보다 이게 촉촉함은 훨씬 오래간다고 하네요만족도가 아주 높다고 입에 침이 마르도록 칭찬을 하길래 그래하면서 저도 써봤거든요여름철엔 제가 써도 무방할 정도였고 끈적임없이 흡수되면서 건조한 느낌 없더라구요초가을에는 오일 섞어서도 가끔 썼어요트러블 없었지만 조금 더 쌀쌀해지자 저한텐 건조하더라고요남편지성은 요즘도 잘 쓰네요추천추천해요,튜브타입타입이라서 가방 속에서도 걱정이 없답니다가격도 괜찮고 성능도 좋은 제품 심지어 살살 풍기는 나무향이 너무 마음에 듭니다,아빠줄려고이리저리돌아다니다 올리브영에서 이거랑나노블럭세트로 17000원에팔길래 오이거살까해서 발라봤는데 향도좋고 촉촉해서삼 바른지얼마안되서 수분이확날라가는게 아쉽긴했디만 나름만족,생긴거는 유분기가 많아보이지만 막상 바르면 굉장히 깔끔히 발리고 좋습니다,,,,,
G,P02,S25,2361,0,N,남친,수분크림,,,,3.61,1.3,,,
G,P02,S25,2361,1,N,올영서 선물로 사줬더니 남친 이것4개째 사용중이네요랩CK비오템등등 다써봐도 가격대비 이만한게 없다고 3개세트구성폼쉐이빙크림 품 이제안나오니 아쉽네요전여자지만  여름에 폼크림 종종사용하는데요,향은 남자 화장품 냄새 안나고  무향에 가까운거 같다,남동생이 쓰고 있는 올인원에센스 다 써서 사줬다 겨울이니까 더 강력한 보습이 필요할 것 같아서 요 아이로 골라봄 동생이 화장품 끈적이는거 극혐해서 끈적이고 그랬으면 절대 안 발랐을 텐데 별말 안 하고 잘 바르는 거 보니 괜찮은가보다 그리고 동생 요 며칠 사이에 피부가 좋아졌다,맨날 투명수분크림만쓰다 처음으로 흰색수분크림을 써본다 일단 수분크림인데 스킨처럼 향이 좀 난다 아침일찍 출근하는 사회초년생 회사원에게 날법한 부드러우면서도 날카로운 남자냄새 바른후 번들거림이 없다,외출할때 바르면 지성피부인 나는 견디기가ㅜㅜ 딱히 트러블 올라오는건 없었다,,,,,
