SITE_GUBUN,PART_GROUP_ID,PART_SUB_ID,PART_ID,KEYWORD_GUBUN,RLT_VALUE_01,RLT_VALUE_02,RLT_VALUE_03,RLT_VALUE_04,RLT_VALUE_05,RLT_VALUE_06,RLT_VALUE_07,RLT_VALUE_08,RLT_VALUE_09,RLT_VALUE_10
N,P04,S09,12249639438,0,재구매,메디힐,저렴,좋습니다,촉촉,71.67,41.6,39.18,32.94,31.31
N,P04,S09,12249639438,1,리뷰 많은 제품으로 샀는데 아직 써보진 못했네요,재구매가격도 좋고 한날과 하지않은날 피부가 다르게 느켜져요,재구매재구매입니다,저렴해서 자주 관리할수있어서 조씁니다,좋습니다,,,,,
N,P08,S35,23343004491,0,향이,향도,거품도,만족,좋습니다,27.92,18.83,9.59,7.9,7.3
N,P08,S35,23343004491,1,써보고 재구매 했어요,촉촉하고 향도 좋아요,한번쓰면 지속되는 시간이 너무길어요,가격대비 만족합니당,잘사용 하겠습니다,,,,,
N,P09,S18,22608574146,0,뿌리,분사,좋습니다,백탁,수시로,7.41,6.97,5.03,4.94,4.33
N,P09,S18,22608574146,1,2개 재 구매했어요,썬크림은 얼굴이 하얘져서 점빼고난 다음에 자극없이 바를 수 있는걸 찾다가 구매하게 되었습니다,간편하고 좋네요,분사할 때 너무 확 날아가버리지 않아서 좋아요,백프로 없어지지는 않지만 전반적으로 지워기긴 합니다,,,,,
N,P02,S25,15557524473,0,향도,재구매,촉촉,만족,좋습니다,9.02,6.82,6.8,6.64,6.04
N,P02,S25,15557524473,1,없고 촉촉하고 좋습니다,조금 뭐라고 할까 질퍽대는 걸 싫어하시는 분은 약간의 거부감이 들수있을듯 하네요,재구매합니다,여러개 바르는거 번거롭다 하셔서 올인원 찾고 있었는데 후기보고 선택했습니다,배송도 빠르고 냄새도 준수한거 같아요,,,,,
N,P06,S28,21950842352,0,발색,예뻐요,색상,팔레트,색이,12.82,10.96,10.57,10.34,9.14
N,P06,S28,21950842352,1,뉴컬러라 기대하고 주문했는데 화사하면서 은은한컬러고 색구성이 다이뻐요 발림성도 좋은것같아요,사진보다는 좀어두운컬러이긴하지만 데일리로 튀지않고 무난한것같아요,아직 써보지는 않았지만 보기만해도 색깔이 너무 예뻐요 에스쁘아 섀도우는 처음 사봤는데 사용감이 기대가 되네요,배송도 빠르고 상품도 마음에 듭니다 애프리콧미 사용 후 모브미도 예쁠거 같아 추가 주문했어요,부드럽게 잘 발리고 발색도 적당함지속력 좋음,,,,,
N,P09,S17,18751415945,0,편하고,발림성,좋습니다,부드럽게,끈적,8.58,8.37,6.38,5.92,5.56
N,P09,S17,18751415945,1,계속사묭하고 있습니다,얼굴에 점빼고 수시로 발라주기 위해 구입해서 쓰고 있는데사용감이 좋아요 번들거림,제가 원하던 것이예요 손을 안쓴다는게 좋구요,저렴하게 샀어요,믿고 습니다,,,,,
N,P05,S05,28679601556,0,가을,컬러,색상,그레이,에스쁘아,21.47,20.84,17.6,16.95,15.66
N,P05,S05,28679601556,1,색상예쁨,색이 예뻐서 산건데 발림성까지 좋네요,추석이라 배송도 많으셨을텐데 추석전에 잘 받았어요,색깔이 일단 너무 가을가을하고 여름쿨톤인 저도 바를수 있는 색이에요,배송도 빠르고 상퓸도 좋아요,,,,,
N,P07,S01,12413438381,0,비비,촉촉,커버력은,발림성,만족,6.7,6.46,5.02,3.54,2.95
N,P07,S01,12413438381,1,밝은 21호인데 제 피부에는 티가 하나도 안나네요커버력은 없다고 보는게 맞아요,유화이님 추천으로 구매하려고 고민하다가 안했었는데 이번에 이지아님메이크업 영상에서 보고 생각나서 구매했어요,촉촉한 면에서 단연 독보적친구들 7명 다 여기제품 매니아예전엔 번들거림이 싫어서 거부했는데 요샌 광이나야 어려보이더라구요,이거는 비비전에 톤업크림이나 메이크업베이스 단게에서 피부톤을 올려놓고 시작하면 그나마 비비가 자연스러운거 같습니다,다만 앞에서 메이크업비비단계전에 톤업크림및 메이크업베이스로 한단계 밝혀준뒤에 사용하면 시너지는 좋아지는 제품인것 같습니다,,,,,
N,P07,S01,12916344408,0,커버,피토레스코,촉촉하고,재구매,만족,6.39,5.7,5.57,5.18,5.12
N,P07,S01,12916344408,1,모두에게 추천하고 싶음,사은품으로 보내주신 것들은 여행갈 때 유용하답니다,다시 구매하고싶어요,써보니 촉촉하긴한데 확실히 커버력은 낮네요,다시 재구매했네요,,,,,
N,P07,S42,21040212617,0,저렴하게,에스티로더,커버력,만족,지속력,13.41,7.63,7.01,6.29,6.23
N,P07,S42,21040212617,1,배송빠르고 좋아요,피부가 하얀편이라 쉘 구매 했는데 섞어쓰니 색상이 찰떡으로 마음에 드네요 구성도 맘네 들고 파데 브러쉬 기대 안했는데 너무 좋아여,저걸로 발랐다니 얇게 발리네요 지속력도 엄청나네요,배송 빠르고 좋아요,항상 쓰던 제품입니다,,,,,
N,P07,S01,22235320858,0,비비,커버,자연스럽게,발림성,피몽쉐,7.44,5.6,5.26,4.47,4.19
