SITE_GUBUN,PART_GROUP_ID,PART_SUB_ID,PART_ID,KEYWORD_GUBUN,RLT_VALUE_01,RLT_VALUE_02,RLT_VALUE_03,RLT_VALUE_04,RLT_VALUE_05,RLT_VALUE_06,RLT_VALUE_07,RLT_VALUE_08,RLT_VALUE_09,RLT_VALUE_10
N,P07,S14,29450817618,0,마스크에,만족,커버,여름에,파데,4.18,3.73,3.28,2.56,2.27
N,P07,S14,29450817618,1,마스크 쓸때 간단하게 파운데이션으로 한 다음에 쿠션으로 마무리 하는데 너무 좋아요,잘쓰겠습니다,색상을 고민하다가 그냥 찍다시피 골랐는데다행히 맘에 딱 들어요,작은 사이즈도 같이 만들어 팔아도 좋을것 같아요,쿠션 재구매 4번째라 파운데이션도 믿고 사봐요 퍼프 생각보다 쪼매난 사이즈라 귀여웠어요,,,,,
N,P07,S01,12139286236,0,커버,발림성,비비,만족,있어요,4.62,3.88,3.74,2.89,2.83
N,P07,S01,12139286236,1,요즘 임신준비하면서 피부가 완전 뒤집혔었는데조금 진정된 느낌이에여,아직 쓰던게 조금남아서쓰기전인데 평이 좋아서 샀으니 좋을거라 생각되요 많이 파세요,상품 잘받았습니다,너무 좋아요많이 파세요,부드럽고 촉촉하네요,,,,,
N,P07,S15,18033946247,0,발색,색이,예뻐요,색상,가격에,6.9,6.62,5.88,4.55,3.71
N,P07,S15,18033946247,1,무난하게 사용하기 좋아요,젤리 타입이라 스펀지로 발라주고 있어요,사진은 살짝 보라끼가 있아보이고 이름도 포도인데 받아보니 코랄빛형광빛 살짝 도는 핑크네요,솔직히 연할줄알고 많이 덧발라야하나 싶었는데 한두번으로 딱 원하는대로 발색돼서 좋았어요,색깔도 맘에 들고 좋아요,,,,,
N,P11,S37,9210541788,0,눈이,재구매,눈에,다래끼,있어요,35.86,24.57,18.03,14.99,13.05
N,P11,S37,9210541788,1,병원에서 쓰라고해서 쓰다가 인터넷이 더 싸길래  여기서 샀어요,나이가드니 모든 기능들이 떨어져서 눈에도 안구건조증에  아침에 일어나면 눈꼽이 한가득이고 눈도 시리고 많이 그랬어요,재구매좋아요,재구매순하고 좋아요,없으면 안되는 제품 딸아이 눈때문에 항상 사는겁니다,,,,,
N,P10,S02,9273983533,0,피지오겔,좋습니다,촉촉,저렴하게,있어요,11.91,8.16,7.32,6.99,6.02
N,P10,S02,9273983533,1,가격도 저렴하게 잘 샀어요,그래도 저렴하게 사용하시는 제품중에서는 가성비가 좋은 편이에요,역시 피지오겔,잘사용하고있습니다,만족합니다,,,,,
N,P11,S37,82194395299,0,눈이,재구매,있어요,눈에,다래끼,17.99,15.55,8.35,7.66,6.48
N,P11,S37,82194395299,1,조금 저렴하게 구매해서 좋아요,재구매아주 좋습니다,세안 및 아이리무버로 눈화장을 지운 뒤에 마지막으로 한 번 더 깨끗하게 눈세정을 하면 정말 개운하더라고요,다래끼도 잘생기고 건조해서 샀어요,스마일 라식 후 점점 심해져가는 건조증에 참기어려워 검색하다 알게되었네요,,,,,
N,P05,S07,12804527157,0,색상,예뻐요,색이,들어요,발색,11.65,9.36,8.92,8.46,6.74
N,P05,S07,12804527157,1,늘 쓰는색상인데 재구매했어요,입술에 발린 색상표 생각하고 산건데 발림은 좋아요,만족합니다,두번째 구매인데 매트하지만 지속력이 오래가서 좋아요,이 조합 너무 예뻐요 두개째예요,,,,,
N,P07,S41,29503122619,0,팩트,블러,유분기,뽀송,마무리,11.03,5.57,4.02,4.0,3.93
