SITE_GUBUN,PART_GROUP_ID,PART_SUB_ID,PART_ID,KEYWORD_GUBUN,KEYWORD_POSITIVE,RLT_VALUE_01,RLT_VALUE_02,RLT_VALUE_03,RLT_VALUE_04,RLT_VALUE_05,RLT_VALUE_06,RLT_VALUE_07,RLT_VALUE_08,RLT_VALUE_09,RLT_VALUE_10
N,P07,S41,29503122619,0,P,팩트,블러,마스크에,뽀송,마무리,8.07,4.6,4.51,3.34,3.08
N,P07,S41,29503122619,1,P,유분이 잘떠서 마무리때 쓰고가지고 다니면서 기름수정 할때 종종 써요 휴대용으로 딱인 사이즈라 귀염뽀짝해서 너무좋아요뭉침없고 한번만 톡 해도 진짜 뽀송하게 연출되서 꾸준템이예요,확실히 뭉치지않고 자국도 안남고 해서 좋아용 쿠션팩트처럼 두들기면서 바르니까 2호가 쿠션21호보다 좀 밝은가 했는데 좀 더 두들기니까 피부표현이 세미매트하게 넘예뻐지고 확실히 지속력이 좋아지네요,파우더 팩트가 필요해서 구매했는데 크기도 작고 귀여워서 들고 다니면서 수정 화장하기에 아주 용이해요,너무 좋아요,지속력 좋아서 자주 수정해줄 필요가 없어서 괜찮네요,,,,,
N,P07,S41,29503122619,0,N,팩트,블러,마스크에,유분기,가격도,2.81,1.65,1.45,1.16,1.09
N,P07,S41,29503122619,1,N,그리고 무엇보다도 가루날림이 없어서 젛습니다파우더타입은 들고다니면서 사용하기 불편했는데 이건 컴팩트해서 들고다니기도 좋아요,헐 이게 바로 내가 찾던 파우더팩트 자냐 왜케 뽀송하니 좋요  귀여운 컴팩으한 사이즈에 화장후 마지막에 톡톡 두드려주면 마스크에 안묻고 밀착력 대박이에요,특히 눈화장하면 화장이 자주 번지는데 블러 파우더 팩트를 쓱 바르고 화장하면 눈화장 진짜 오래가요  사이즈도 컴팩트해서 휴대하기 좋고 수시로 메이크업을 수정하기도 좋아요,여러곳 파루더팩트 사용해봤는데 여기가 제일좋어요,모공을 가려줘서 더 좋고 뽀송하게 발려서 더 맘에들어요,,,,,
N,P07,S01,8461144790,0,P,만족합니다,잘봤어요,좋습니다,커버,AHC,3.76,3.18,2.57,2.43,2.01
N,P07,S01,8461144790,1,P,살짝 아쉽긴해요,좋음,모공이 넓어서 피부화장을 안하는데 이건 자연스럽게 톤업을 시켜줘서 좋아요,아주 좋아요,괜찮네요,,,,,
N,P07,S01,8461144790,0,N,만족합니다,유통기,커버,,,3.66,0.85,0.7,,
N,P07,S01,8461144790,1,N,그런데 이번받아본 제품은 유통기간이 4개월도 안남은게 왔네요제고남은거 받은거 같아서 좀 그렇네요,제품 자체는 만족하는데 튜브 옆이 터졌고 사용기한이 얼마안남은게 왔네요,튜브는 벌어지기 직전이고 커버나 지속성이 좋으면 괴안은데 생각만큼 좋지는 않아서 다른 제품으로 갈아탔네요,아  너무작아서 샘플인줄알았네요,저는커서  시켰는데    다음엔  사고  싶지  않네요,,,,,
N,P11,S37,9210541788,0,P,눈이,재구매,좋습니다,눈에,만족,23.52,16.48,10.92,9.74,8.76
N,P11,S37,9210541788,1,P,세정효과 넘좋아요,아침기상후 눈꺼풀세정을 하면 상쾌하게 하루를 시작합니다,배송이 늦게 와서 좀 그랬어요,또 재구매 했어요,저렴한편인데 배송도 빨라서 만족합니다,,,,,
N,P11,S37,9210541788,0,N,눈이,눈에,다래끼,배송도,개운,10.44,6.4,6.01,4.34,3.59
N,P11,S37,9210541788,1,N,다래끼 때문에 주문했는데 확실히 눈이 좀 깨끗해지고 아직까지는 다래끼가 나지 않았어요,병원에서 쓰라고 강요해서 병원에서 겁나비싸게 사서 병원에만 파는줄알았는데 아니였네여 넘좋아요,이거 사용한 이후로는 눈에 다래끼 나는 것이 많이 줄었어요,개운하고  눈 건조함도 덜해지고 다래끼 달고 살았는데 이제 안나요,무난해요,,,,,
N,P10,S02,9273983533,0,P,좋습니다,피지오겔,저렴하게,만족,있어요,7.87,6.17,4.51,3.99,3.98
N,P10,S02,9273983533,1,P,가격도 저렴하게 잘 샀어요,역시 피지오겔,잘사용하고있습니다,만족합니다,좋습니다,,,,,
N,P10,S02,9273983533,0,N,순하고,배송이,피지오겔,저렴하게,촉촉,3.74,3.08,2.31,1.63,1.29
