SITE_GUBUN,PART_GROUP_ID,PART_SUB_ID,PART_ID,KEYWORD_GUBUN,RLT_VALUE_01,RLT_VALUE_02,RLT_VALUE_03,RLT_VALUE_04,RLT_VALUE_05,RLT_VALUE_06,RLT_VALUE_07,RLT_VALUE_08,RLT_VALUE_09,RLT_VALUE_10
G,P12,S03,152257,0,뿌리,젖은,모발,향이,노워시,4.21,3.59,2.95,2.64,2.57
G,P12,S03,152257,1,솔직히 효과 모르겠어요기존 사용하던 컨디셔너 헤어에센스 둘 중 하나라도 안쓰면 이거를 쓰더라도 머리가 푸석하더라구요,전 원래 타고난 머릿결아 좋은 편이라 트리트먼트 귀찮아서 안쓰는데 이거 진짜 좋네여 머리감고 나서 사용하는건데 마른머리에 사용하신 분은 설명 제대로 잘 안읽어보신듯 싶네요,트리트먼트 후 린스를 하시나요번거롭더라도 트리트먼트와 린스는 각각 다른 역할을 하며 시너지 역할을 하기 때문에 하나만 사용할 것이 아니라 트리트먼트 후 꼭 린스를 사용해야 모발을 더욱 튼튼하게 보호할 수 있습니다하지만 이 두 과정을 거치는 것은 너무 번거롭잖아요저도 솔직히 둘 다 하면 좋은 거 당연히 알죠근데 귀찮아서 트리트먼트만 후딱 하고 나오거든용Ytd 칼라무스 데미지가드 노워시컨디셔너는 물로 헹굴 필요 없이 뿌리면 끝나는 린스로 너무 편리한 아이템이에요알로젠 프리 향료와 오일도 전부 천연이기 때문에 피부가 예민한 저에게도 잘 맞았어요,이렇게 솔직하게 리뷰를 남겨도 이곳은 이벤트 당첨을 자주 시켜주기에 저또한 뭔가를 사기전에 글로우픽에서 보고 사기때문에 솔직하게 남겨봅니다,향은 그럭저럭 향이 강한 편이 아니라 무난함 근데 분사력이 좀 아쉬움,,,,,
G,P12,S03,3959,0,아베다,컨디셔너,머릿결이,데미지,효과,3.48,2.72,2.5,2.2,2.0
G,P12,S03,3959,1,그런데 아베다 컨디셔너 쓰고부터는 빗질도 잘되고 드라이후에 엉킴도 덜해요,개털 뭉치듯 한덩어리로 뭉치는데 컨디셔너에 트리트먼트 에센스 엄청 발라줘야해요,샴푸와 세트로 사용중인데 머리의 부드러움이 계속 유지돼요,그냥 향 오로지 향 향 못잃어서 재구매 할 것 같아요,좋긴 좋은데 가격대비 트리트먼트 효과라던가 부드러움은 정말 모르겠다는 ㅠㅠ 개인적으로 넘 라이트했어요,,,,,
G,P12,S03,40833,0,향이,좋아,컨디셔너,비욘드,머릿결이,10.53,4.33,3.77,2.65,2.35
G,P12,S03,40833,1,내돈내산 후기1 향동생이 바디워시인줄 알고 쓸 정도로 일반적인 향이 좋은 샴푸보다 향이 좋았어요2 두피진정이 상품을 구매한 이유가 트위터에서 두피진정에 되움이 된다고 해서 구매하게 되었어요,보라보라빛 보라보라향 진짜 보라향기가 사르르 비욘드제품은 겨울철에 바르기 너무좋고 보습력도 짱이고 추천해드리고 싶고 비욘드제품은 다 사용하고싶어요,비욘드 디페스 라인 향이 그냥 미쳤어요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,지속력 미쳤어요맨 처음에 아예 코에 대고 맡으면 진짜 상큼 달달 정말 너무너무 좋은 블루베리 향이 나는데 머리 감고 좀 지난 후 잔향은약간 블루베리 너무 좋은 프룻향꽃향기 정도로 나는것 같기도 해요,순한편이라 아이들하고 같이 쓰려고 샀는데 머리결이  많이 부드러운것 같아요나름 괜찮은편,,,,,
G,P12,S03,61889,0,향이,린스,좋아,머릿결,컨디셔너,4.05,2.86,2.32,2.31,1.98
G,P12,S03,61889,1,아니야 그냥 백단향은 다 좋아 세정력 세정력 나쁘지 않음,냄새는 좋아용,냄새가 좀 호불호 갈릴거같긴한데효과는 일반적으로 컨디셔너에 대해 기대하는 정도로 충족되었습니다,샴푸랑 린스 같이 쓰면 확실히 냄새가 좋은 건 맞는 것 같아요,후 너무 좋지도 나쁘지도 않은 딱 린스컨디셔너의 가벼운 기능이에요,,,,,
G,P12,S03,82441,0,향이,좋아,오래,향기,향은,4.77,2.55,1.7,1.63,1.58
G,P12,S03,82441,1,동네마트에서 처음써보고 몇통 더 썼네요ㅎㅎㅎㅎ성분은 잘모르것고 기능성은 아닐지라도흔한향이 아니라서 한번쯤 써보길 추천해요같은라인에 핑크색도 꽃향기가 더 진하면서 좋아요,향이좋다고 해서 샀는데 향은 약해서 잘 안느껴집니다,그냥 무난히 동네 마트에서 파는 그런건데향이 진짜 너무 좋음56년전 중23때 이걸로 남학생 꼬심,지속력도 오래가고 조금 무겁고 기름진느낌 있어요,향이넘한방스럽지않아좋음,,,,,
G,P12,S03,82543,0,머릿결이,향이,컨디셔너,효과,향도,3.39,3.25,2.8,1.86,1.65
G,P12,S03,82543,1,향이 너무 좋아서 구매했어요그리고 생각보다 괜찮아서 재구매한 제품이구요그치만 재재구매는 안했어요,향이 한국 컨디셔너 제품에서 날법한 향이 아니길래 제조국을 확인해봤더니 역시나 한국제품이 아니였다,컨디셔너 많은 제품 써봤는데 좋아요,속는셈치고 사봤는데 샴푸만 해도 머릿결이 부들 부들해지고 물기를 짜낸후에 컨디셔너를 도포하고 10분정도 방치하고 헹궈내면 머릿결이 묵직해진 느낌이 들어서 좋아요,워낙 좋은 컨디셔너를 많이 써서 그런가 흠 잡을 곳 없고 흡수도 잘되고 부드러운데 특출나게 더 좋다 이런 건 잘 모르겠음워낙 곱슬이 심한데 더 컬틀 잘 잡아주는 것도 모르겠음,,,,,
G,P05,S05,14295,0,입술,지속력,바르면,펄이,발색,2.38,2.31,2.22,1.69,1.63
G,P05,S05,14295,1,립글로스 특성상 잘 묻어남은 있는데 다른 립글로스보다 지속력도 좋고 우선 색이 너무 이뻐요 펄 있는 제품이랑 없는 제품 둘 다 사용중인데 둘 다 색상이 미쳤어요ㅠㅠ 지속력 좋은것도 넘 좋구요,여리여리 촤르르륵 한게 정말 예뻐요 광택이 고급져서 바르면 기분이 좋아요,바르자마자 색이 이뻐요 근데 지속력은 크진 않은거 같아서 그게 아쉬워요,건조한 입술이 저는 수분감에 적당한 유분기가 있는 것을 선호하는데 수분감에 예쁘게 발색되는 색표현에 아주 좋았어요,립 위에 바르면 색이 밀키해지는 흰끼가 섞여서 색이 희석되고 탁해보여요 립 위에 살짝만 얹어도 립이 다 지워지는 느낌 그리고 펄이 너무 크고 많아서 반짝이풀 같아요,,,,,
G,P05,S05,154448,1,Aragon 컬러 사용중입니다립글로즈는 끈적끈적 하다는 선입견을 가지고 있었는데 이거 진짜 요물이에요 ㅠㅠ 그 인스타에서 보이는 물먹믈먹립이 만들어집니다 ㅠㅠ 저만쓸거에여 ,,,,,,,,,
G,P05,S05,20632,0,입술,지속력도,글로스,발색이,쫀쫀하고,2.47,2.17,1.58,1.51,1.5
G,P05,S05,20632,1,머리카락도 입술에 많이 붙고 그래도 너무 예뻐서 절대 포기 못하는제품 집에 색깔별로 한 8개정도 쟁여놓은  ㅠㅠ,틴트나 립스틱도 아닌디 색 표현이 잘되고 무엇보다  코코넛 향이라고 해야하나 향이 맘에 들어요,끈적임이 있긴 하지만 투명하고 색상도 예쁘고 촉촉해요,컬러는 컬러대로 살려주고 글로시함도 살려주어 좀더 입체적인 입술 표현이 가능해요,이 제품은 틴트를 바르고 나서 바르기 좋은 제품이에요,,,,,
G,P05,S05,22,0,입술,글로스,발색,좋아,예뻐서,4.16,2.22,2.1,1.63,1.35
G,P05,S05,22,1,필러맞은느낌 두툼해지그여 근데 머리카락이 너무 잘 붙을 정로도 찐득ㅎㅐ서 바람 날리는 날 바르면 안됩니다ㅜㅜ,디자인도 예쁘고 브랜드 이미지에 혹해서 가지고다니기 좋은 립글로스라 구매했다가 서랍속에 박힌 아이입니다일단 바르면서부터 끈적이구요,봉 타입으로 생긴 것들보다 양이 좀 많이 묻혀져서조절하면서 써야해서 그부분은 아쉬웠고  겨울철에 건조한 입술 각질을 정돈 해주어서 촉촉하고 깔끔해졌고  입술이 유리알처럼 예쁘게 보였다,656컬러 사용중인데 연한 핑크빛이 돌고 펄도 포함되어있어 입술을 윤기나게 만들어줍니다매트한 립 바르고 위에 덧발라주기 좋아요,살짝 핑크 빛이 돌아서 예뻐요글로시하게 연출하고 싶을 때 사용하고 펄이랑 섞어서 아이메이크업 할 때도 사용하면 더 반짝거려서 예뻐요색상이 강하지 않아서 자유롭게 이용하기 좋아요하지만 굳이 이 제품을 사용할 필요는 없을 것 같아요,,,,,
G,P05,S05,2941,0,돌체비타,입술,드래곤걸,색상,바르면,5.94,4.26,3.46,3.43,3.07
G,P05,S05,2941,1,진심으로 처음에 오버 립 그려주고 다른 제품 립이랑 같이 발라도 이쁘고 립 펜슬 하나로 립 그려줘도 이쁘고 그냥 색감 너무 제 스타일이라 만족하며 사용하고 있어용,진심 예버요 ㅠㅠ 단독으로 발라도 되고 다른 색이랑 섞어서 쓰면 분위기 진짜 레전드 입니다부담스럽지 않은 차분한 색이어서 요즘 매일 쓰고 있는 아이입니당 그리고 매트한거 치고 각질 부각이 그렇게 심하진 않더라구요,매트하고 좋아요,예쁘게 바르기 어려운 제형 단단한데 부드럽긴 하지만 굉장히 건조함이 느껴지는 매트함 색상은 예쁜 체리레드 색상입니다,나스 립 펜슬 돌체비타는 무난하면서 베이스로 찰떡인 mlbb 색이에요,,,,,
G,P05,S05,40815,0,입술,색상,립라인,립펜슬,컬러,5.71,3.95,2.38,2.28,2.09
G,P05,S05,40815,1,저는 입술에 약간만 생기가 도는 걸 좋아해서 다른 립 제품 안 쓰고 펜슬로만 살짝 칠해요,라인그릴때 엄청 부드럽진 않지만 색상이 잘 나오고 유지력이 좋아서 맘에 들어요 ㅎㅎ,그래도 자연스럽게 잘 그려져서 무난하게 쓰고있습니당,입술 가장자리에 약간의 착색도 있고 경계선이 모호해서 처음으로 립 펜슬 구매해봤는데 만족합니다,특히 건조한 입술에는 더 그럼  또한 발림성이 꽝임 지속력은 워터에선 강하나 오일에 아주 약함 단독으로 사용 하기엔 무리가 있음,,,,,
G,P05,S05,7516,0,가격,입술,저렴,2호,가성비,3.67,3.14,2.38,2.37,2.34
G,P05,S05,7516,1,제 입술이 예민한 편이기는 한데 다른 립 라이너에 비해 유독 더 자극적인 느낌이 있어요,제형이 부드럽다보니 너무 많이 빼거나 떨어뜨리면 잘 부러져서 조금씩 돌려 사용해야돼요워낙 저렴하다보니 다시 구매하기 부담없어요립라이너 입문하는데 저렴이를 찾으시면 추천합니다가성비 갑 립라이너,아이라이너보다 사알짝 두꺼운 굵기로 흔히 아는 립펜슬 두께는 아닌데 부드럽게 발리고 블랜딩이 잘되서 크게 거슬림이나 불편함은 없었어요,사실 배송비 안 나오게 맞추려고 사서 엄청 저렴했음,가격이 싸다보니까 립 라이너 가볍게 사용해보고 싶을 때 사용하기 좋은 제품입니다,,,,,
G,P05,S05,90,0,촉촉,컬러,샤넬,지속력,색상,4.38,3.36,2.77,2.45,2.2
G,P05,S05,90,1,샤넬이니 케이스도 짱짱함  다른 브랜드에서 찾기 힘든 고급진 톤다운 핑크립 짱짱하고 야무진 샤넬 케이스단점  제대로 된 발색샷 찾기 힘듦 옅은 색이라 매장 조명에서도 노오란 조명 탓에 색이 다 날라가서 발색보기 힘들었음,벽돌색에가깝지만 발라보면 핑크45 레드 55 컬러예요,부드럽게 발리고 색감도 좋고 샤넬은 20대때 송혜교 립스틱으로 유명했던 색깔부터 시작해서 하나씩 사모았던 기억이 나요,전에 쓰던 거랑 비슷한 색인데 좀 더 촉촉한 걸 찾았는데 딱 좋았습니다,예쁜 코랄이라 부담스럽지 않고 데일리하게 바탕컬러로 잘 쓰고 있어요,,,,,
G,P05,S05,91694,0,매트,입술,좋아,각질,립매터,6.77,6.62,3.8,3.57,2.97
G,P05,S05,91694,1,저는 립제품 지속력이 좀 높아졌으면 해서 써봤는데 오래 지속되는 효과는 거의 없는 것 같더라고요ㅠㅠ 제형이 매트하게 바뀌긴 하지만 립제품 바른 뒤에 사용하기가 불편하기도 해서 잘 안쓰게 되었어요,한창 매트립에 빠졌을 때 샀는데 아무래도 원래 매트한 립을 바르는 거랑 립매터로 바꾼 거랑은 느낌이 다르더라구요,발랐을때처럼 찐하게 남아있진 않지만 흉하게 착색이 안남아서 좋아요ㅠㅠ,진짜 매트해요,주름 사이사이 잘 매워줘서 보들보들해지고 립발색이라던지 립 지속력이 드라마틱은 아니여도 확실히 올라가는것같아요,,,,,
G,P05,S05,95456,0,색상,오렌지,각질,입술,매트,6.03,4.06,3.82,3.64,3.45
G,P05,S05,95456,1,게다가 벨벳타입이 아무리 잘나와도 각질부각되는 제품이 많은데  이건 진짜 대충 각질이 있어도 부각이 거의 안되요  립밤만 대충 발라놓고 각질 제거 잘안됐어도 각질이 막 일어나거나 하지 않아요,RD308 로즈컷 정석 레드컬러에 약간 핑크끼가 들어간 쿨한느낌 맥 매트 립스틱이랑 질감이랑 표현이 거의 비슷함 개인적으로 로즈컷은 웜톤보단 쿨톤이 잘 어울릴 레드같음,벨벳 립스틱인지만 건조하지않고 약간 촉촉하게 각질부각없이 잘 발리는 것 같았어요,벨벳립스팁이지만 입술이 건조하다 느껴지진 않았어요부드럽고 가볍게 발리고 립스틱 치고 이정도 지속력이면 꽤 괜찮은것 같습니다ㅎㅎ다만 제 입술에선 각질부각이 살짝 있었어요,선물받아서 사용중인데 각질이 잘 일어나요 ㅠㅡㅠ,,,,,
G,P05,S06,129308,0,입술,바르고,립제품,각질,발색,2.27,1.61,1.44,1.33,1.03
