SITE_GUBUN,PART_GROUP_ID,PART_SUB_ID,PART_ID,KEYWORD_GUBUN,KEYWORD_POSITIVE,RLT_VALUE_01,RLT_VALUE_02,RLT_VALUE_03,RLT_VALUE_04,RLT_VALUE_05,RLT_VALUE_06,RLT_VALUE_07,RLT_VALUE_08,RLT_VALUE_09,RLT_VALUE_10
G,P12,S03,152257,0,P,뿌리,젖은,모발,노워시,뿌려,3.43,2.95,2.86,2.39,1.96
G,P12,S03,152257,1,P,솔직히 효과 모르겠어요기존 사용하던 컨디셔너 헤어에센스 둘 중 하나라도 안쓰면 이거를 쓰더라도 머리가 푸석하더라구요,전 원래 타고난 머릿결아 좋은 편이라 트리트먼트 귀찮아서 안쓰는데 이거 진짜 좋네여 머리감고 나서 사용하는건데 마른머리에 사용하신 분은 설명 제대로 잘 안읽어보신듯 싶네요,향은 그럭저럭 향이 강한 편이 아니라 무난함 근데 분사력이 좀 아쉬움,설문단 당첨으로 써봤어요첨엔 그닥 잘 몰랐는데 젖은 머리에 뿌리고 말릴 때랑 그냥 말릴 때랑 확실히 달라요 부드럽고 덜 푸석대서 좋습니다,단점을 하나 꼽자면 이걸 뿌려도 정전기 개선은 많이 안되는거같아요 ㅜㅜ,,,,,
G,P12,S03,152257,0,N,향이,뿌리,노워시,젖은,헤어,2.68,2.41,2.07,1.98,1.89
G,P12,S03,152257,1,N,솔직히 효과 모르겠어요기존 사용하던 컨디셔너 헤어에센스 둘 중 하나라도 안쓰면 이거를 쓰더라도 머리가 푸석하더라구요,이렇게 솔직하게 리뷰를 남겨도 이곳은 이벤트 당첨을 자주 시켜주기에 저또한 뭔가를 사기전에 글로우픽에서 보고 사기때문에 솔직하게 남겨봅니다,향은 그럭저럭 향이 강한 편이 아니라 무난함 근데 분사력이 좀 아쉬움,엉덩이에 닿을랑말랑하는 머리길이인데냄새짱좋아요,장점 일단 받아봤을 때 패키지가 너무 예뻐요 마치 크리스마스 선물같은 느낌의 패키지   액체형인 트리트먼트는 사용해봤는데 뿌리는 형태의 컨디셔너는 처음,,,,,
G,P12,S03,3959,0,P,효과,추천,머릿결,아베다,컨디셔너,1.6,1.39,1.14,1.08,1.06
G,P12,S03,3959,1,P,개털 뭉치듯 한덩어리로 뭉치는데 컨디셔너에 트리트먼트 에센스 엄청 발라줘야해요,샴푸와 세트로 사용중인데 머리의 부드러움이 계속 유지돼요,저는 아베다에서 이라인 참 좋아하는데 트리먼트도 역시나 무겁지않고 수분감 넘치는 느낌이라 좋아요,생각하지만 난 은은하고 괜찮았음비싼애는 비싼 값하는구나 싶다,비싼돈 주고 사용할 만한 이유를 저는 아직 발견하지 못했습니다,,,,,
G,P12,S03,3959,0,N,컨디셔너,아베다,좋아,향이,비싸,2.06,1.19,1.11,1.1,0.91
G,P12,S03,3959,1,N,그런데 아베다 컨디셔너 쓰고부터는 빗질도 잘되고 드라이후에 엉킴도 덜해요,좋긴 좋은데 가격대비 트리트먼트 효과라던가 부드러움은 정말 모르겠다는 ㅠㅠ 개인적으로 넘 라이트했어요,이건아니에요ㅎ가성비를 따지면 그냥 보통이랄까요완전 개털은 아니여서 효과를 많이 못 본걸 수도있어요가격이 비싸서 면세점에서 사면 참 좋은데ㅠㅠ 요즘엔 그러질 못해서 아쉽네요ㅠ,저렴한 린스보다 확실히 비싼값 하는 아이무엇보다도 흡수가 잘됨 머리카락에확실히 부들부들 합니다이라인 트리트먼트보다 확실히 좋은듯지속력도 좋음,그리고 이게 좀 애매한데 로즈메리민트 샴푸와 함께 써서 그런지 이 컨디셔너때문인지는 모르지만 두피 트러블이 안생겼습니다대신 가격이ㅠㅠㅠ 펑펑쓰기엔 무리가 있습니다,,,,,
G,P12,S03,40833,0,P,향이,좋아,컨디셔너,머릿결이,비욘드,8.24,3.68,3.25,1.81,1.75
G,P12,S03,40833,1,P,보라보라빛 보라보라향 진짜 보라향기가 사르르 비욘드제품은 겨울철에 바르기 너무좋고 보습력도 짱이고 추천해드리고 싶고 비욘드제품은 다 사용하고싶어요,지속력 미쳤어요맨 처음에 아예 코에 대고 맡으면 진짜 상큼 달달 정말 너무너무 좋은 블루베리 향이 나는데 머리 감고 좀 지난 후 잔향은약간 블루베리 너무 좋은 프룻향꽃향기 정도로 나는것 같기도 해요,순한편이라 아이들하고 같이 쓰려고 샀는데 머리결이  많이 부드러운것 같아요나름 괜찮은편,머리가 길어서 머릿결관리에 신경을 쓰는편이라 헤어제품에 관심이 많은데  이것저것 서치해보다가 구매한 비욘드 컨디셔너  비욘드는 일단 향기가 좋아서 산것도 있지만 컨디셔너의 역할도 충분히 하는거 같아서 좋아요,샴푸 써보고 냄새가 너무 제 취향이라 컨디셔너도 샀어요,,,,,
G,P12,S03,40833,0,N,향이,컨디셔너,머릿결,좋아,비욘드,4.33,2.53,2.01,1.84,1.67
G,P12,S03,40833,1,N,비욘드 디페스 라인 향이 그냥 미쳤어요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,머리가 길어서 머릿결관리에 신경을 쓰는편이라 헤어제품에 관심이 많은데  이것저것 서치해보다가 구매한 비욘드 컨디셔너  비욘드는 일단 향기가 좋아서 산것도 있지만 컨디셔너의 역할도 충분히 하는거 같아서 좋아요,샴푸 써보고 냄새가 너무 제 취향이라 컨디셔너도 샀어요,그 뒤에 조금 대기타다 물로 헹궜는데 다른 기타 컨디셔너 만큼 효과가 있어서 만족 더하기 향이 너무 좋아서 아주 대만족했던 제품입니다,저는 원래 린스를 잘 사용하진 않았는데 이건 행이 너무 좋아서 머리 감고 마지막으로 바르고 나서 양치하고 감으니깐 잔향도 어느정도 유지 되면서 부들부들 너무 좋더라구요,,,,,
G,P12,S03,61889,0,P,향이,좋아,샴푸랑,린스,머릿결,2.34,1.74,1.51,1.24,1.2
G,P12,S03,61889,1,P,냄새는 좋아용,냄새가 좀 호불호 갈릴거같긴한데효과는 일반적으로 컨디셔너에 대해 기대하는 정도로 충족되었습니다,샴푸랑 린스 같이 쓰면 확실히 냄새가 좋은 건 맞는 것 같아요,서향이랑 효능은 비슷한 거 같은데 기름도 좀 덜지는거같아요다만 머릿결이 확실히 부드러워진다는 느낌은 덜 해서 헤어팩 나로 쓰고있어요,되게 달달한 꽃향인데 흔한향이 아니라서 좋아요,,,,,
G,P12,S03,61889,0,N,머릿결,냄새,향이,컨디셔너,백단향,2.13,2.08,1.97,1.8,1.46
