SITE_GUBUN,PART_GROUP_ID,PART_SUB_ID,PART_ID,REVIEW_DOC_NO,REVIEW,DOC_PART_NO
G,P12,S49,122994,RVD-220320-0102934,정말 간편하게 믹스해서 사용할 수 있어서 편한거같아요,1
G,P12,S49,122994,RVD-220320-0102934,색도 잘 나오고 좋습니다,0
G,P12,S49,6590,RVD-220320-0102931,헤어라인에 머리숱이 없어서 고민고민하다가알아보고 자연스러우면서 효과도 좋다고 하길래덥석 구매를 눌러서 사게 됐는데 정말 좋아요ㅜㅜ고민할 필요가 없다는 걸 써보고 느꼈어요다들 고민하시는 분들 계시면 고민하지 마시고얼른 늦기 전에 구매하세요짱 좋아요???,1
G,P12,S49,6590,RVD-220320-0102929,컬러들이 좀 애매한것 같아요,1
G,P12,S49,6590,RVD-220320-0102929,그리고 세밀한 표현이 잘 안되고 너무 진하게 발색 되는거 같아요,2
G,P12,S40,4838,RVD-220320-0102924,향 진짜 개좋아요,0
G,P12,S40,4838,RVD-220320-0102924,달달한데 시크하고 어디서 맡아본 거 같읔데 생소하고 근데 또 향은 엄청 좋고 왠만하면 호불호도 안갈릴거 같고요 이거 뿌리고 학교 가면 냄새여신 되는거임,1
G,P12,S40,65073,RVD-220320-0102922,머리 말리기전 바르고 말리면 찰랑찰랑해져요,1
G,P12,S40,129807,RVD-220320-0102919,머리에 수분을 채워주는느낌 ㅎㅎ 미디움머리라 반정도 짜서 끝에만 발라주고있는데 손에 남는것도 미끌거림 크게없이 잘 닦이고 가격도 저렴하구 제품력 좋아요ㅎㅎ 몸에 뭐가안나는것도 굿,1
G,P12,S40,1415,RVD-220320-0102915,좋다진짜가격빼면 이거만 쓰고싶다ㅎㅎ향은 좀 이상한가 했지만 금방 날아가버림트리트먼트해도 에센스발라도 머리끝이 항상 건조한데이거쓰면 부들부들 촉촉 빗질이 필요없을 정도진짜 맘에 듬,1
G,P12,S16,20573,RVD-220320-0102898,향도 상쾌하듯 좋고 급할때 떡졌을때 뿌리면 엄청 편리하고 좋네요,1
G,P12,S16,20573,RVD-220320-0102898,가끔 흰가루 나오는거빼고는요,0
G,P12,S16,148342,RVD-220320-0102895,선물받아서 사용했는데 가렵지도않고  향은 너무 좋고요 단점은  퍽퍽한 꾸덕한제형이라 물을 엄청묻혀서 거품을내야해요ㅜㅜ 짜고나면 그 주변이 보라색으로 물들여잇어요 ㅠㅠ,1
G,P12,S16,144980,RVD-220320-0102894,샴푸자체는 깔끔한느낌으로 씻기고 거품도 잘나고 좋은데 탈모방지 효과는 그닥 모르겠어요,1
G,P12,S03,152257,RVD-220320-0102888,젖은 모발에 촥촥 뿌리고 말리기만 하면 돼서 넘 간편하고 좋아요,1
G,P12,S03,152257,RVD-220320-0102888,이것만 해도 뻣뻣한게 많이 부드러워지는데 트리트먼트까지 하고 뿌리니까 엄청 뷰들보들해요ㅋㅋ ㅋ 트먼 하고 젖은 머리에 뿌리는게 젤 베스트 같지만 그냥 샴푸로만 감고 뿌려도 보들보들 좋습니당 ㅎㅎ 저는 에센스는 먼가 기름지게 남는 게 싫어서 그것도 잘 안 하는데 요건 보송보송한 느낌이라 부담없이 챙기게 되더라고요 정전기도 훨씬 덜 나서 목도리 두르는 요새 엄청 유용해요,2
G,P12,S03,152257,RVD-220320-0102888,향은 있는 듯 없는 듯이 나서 크게 신경 안 쓰이는데 이왕 향을 넣을거면 좀 더 지속력 있음,3
G,P12,S03,152257,RVD-220320-0102888,좋겠다 싶기도 해요단점이 하나 있다면 방에서 머리 말리는데 이걸 뿌리니 방바닥이 미끌미끌합니닼ㅋㅋㅋ 화장실에서 뿌려야겠어요,0
G,P12,S03,152257,RVD-220320-0102888,간편하긴 한데 뿌리는제품 특석상  머리에 뿌려지지 않고 날아가는게 많아서 고점이 장점이자 단점같습니당,4
G,P12,S03,145069,RVD-220320-0102887,좋아요,0
G,P12,S03,145069,RVD-220320-0102887,제품력 좋고 특유의 시원한 쿨링감도 오래가서 좋습니다,1
G,P12,S03,145069,RVD-220320-0102887,그런데 향이 막 향기롭진 않아서 헤어 제품 고를 때 향이 고려대상 1순위이신 분들에겐 안 맞을듯 머릿결이 안 좋아서 머릿결 케어가 중점이신 분들께는 추천입니다,2
G,P11,S37,1679,RVD-220320-0102886,사용해본 리무버중에 가장 확실하게 지워주는 제품 다른 리무버는 완전 꼼꼼히 닦아내도 잔여물이 남는 느낌이었다면 이제품은 몇번 닦아내면 깔끔쓰  벌써 몇통째 쓰는중ㅎㅎㅎ,1
G,P11,S37,104177,RVD-220320-0102879,눈에 들어가도 따갑지 않고 퍽퍽 쓰기 좋아요,0
G,P11,S37,104177,RVD-220320-0102879,눈에 자극도 안가는거 같고 없으면 불안해서 항상45통씩 쟁여 놓고 사용중이에요,1
G,P11,S37,104177,RVD-220320-0102879,단종시키지 마세여,0
G,P11,S37,81446,RVD-220320-0102876,눈 포인트 메컵 잘 지워져요,1
G,P11,S37,81446,RVD-220320-0102876,근데 생각보다는 많이 남아있어서 여러번 닦아야함,0
G,P11,S37,81446,RVD-220320-0102876,근데 순해서 안따갑고 괜찮음,0
G,P11,S37,20003,RVD-220320-0102874,아이메이크업 진하게 하는 저에게는 사용감이 엄청 훌륭하지는 않지만 휴대성은 좋아요,0
G,P11,S37,130697,RVD-220320-0102873,제가 평생 안고갈 애정템살짝 꺾인 형태의 플라스틱 브러시를 마스카라처럼 쓱쓱 속눈썹에 바르면 어떤 강력한 마스카라도 자극없이 사르륵 부드럽게 녹아요아이메이크업을 지우면서 리무버가 눈에 들어가거나너무 벅벅 문질러대느라 눈가가 예민해져서 고민인분들이라면이제품은 정말 찐으로 추천드리고싶어요클리오 마스카라 리무버를 사용하고나서부터 클렌징 시간이 정말 많이 짧아지고 간편해졌어요정말 강력추천드리고싶은 제품입니다,1
G,P11,S37,130697,RVD-220320-0102873,저는 클리오 킬래쉬 마스카라리무버 평생템으로 가져갈꺼에요 ????,0
G,P11,S37,130697,RVD-220320-0102872,에뛰드 하얀색 마스카라 리무버쓰다가 이번에 클리오빨간뚜껑마스카라킬래쉬 수퍼프루프 마스카라 사면서 받았어요팁이 약간특이해요,0
G,P11,S37,130697,RVD-220320-0102872,마스카라리무버 본체끝이 살짝 휘어져있어서 구석이나 눈의 완곡을 따라 쓱쓱 칠하기가 편해요본체 틈구역이 잘 나눠져있어서 속눈썹 한올씩 잘 빗어주는 느낌이예요,1
G,P11,S37,130697,RVD-220320-0102872,정말 잘 지워집니다,2
G,P11,S37,130697,RVD-220320-0102872,저는 에뛰드도 나쁘진않았지만 개인적으로 클리오쪽이조금 더 재구매의사가 있어요꿀팁 Tip  2022년기준이거 안쓰면 마스카라 잘 안지워지신다는 분들이 꽤있어서제가 매일쓰는 아이템 소개드려요_ 일리윤 프레쉬 모이스춰 립앤아이 리무버_ 써보세요흔든다음 흔들어주셔야 효과 제대로 나요,3
G,P11,S37,130697,RVD-220320-0102872,솜에 젖셔서 눈에 올려두시고 23분 기다려주시면 굳이 마스카라리무버따로 안써도 잘 지워져요에뛰드 픽서쓰고 똑같이해도 거의90이상 다 잘지워졌어요,4
G,P11,S37,130697,RVD-220320-0102872,개인차있음오일층이 있는 리무버라 조금 부담스러우실순있지만대체로 오일층흔들어서 쓰면 잘지워진다마네 하던제품들중에선 가장 인상깊었고효과봤어요,5
G,P11,S37,130697,RVD-220320-0102872,주의 부작용있다는후기도 있어서 이 부분은 유의해주세요,0
G,P11,S37,130697,RVD-220320-0102871,마스카라 정말 매일 사용하는데 진짜 잘 지워져요,1
G,P11,S37,130697,RVD-220320-0102871,전에는 마스카라 잘 안지워져서 열심히 지우다 속눈썹도 뽑히고 그랬는데 이제는 쓱쓱바르기만 하면 되니까 그럴 걱정도 없네요,2
G,P11,S37,150135,RVD-220320-0102863,30ml 공병후기시오리스 제품 구매할 때 샘플로 왔어요저녁에 선크림 지우는 용도로 사용했습니다본 제품만 사용하고 2차 세안 안했어요세정력은 나쁘지 않았어요선크림 및 베이스메이크업 지울 정도는 돼요펄 섀도우는 잔여물이 남았어요사용감은 괜찮았어요유화 과정에서의 눈시림도 없었어요향이 너무 별로예요30ml 공병 나올 때까지도 익숙해지지 않네요향료가 들어간것보단 안들어간걸 더 선호해서 이 정도에서 넘어갈게요전체적으로 나쁘진 않았지만 아직은 클렌징오일이 더 좋네요본품 구매 의사 없어요,1
G,P11,S37,105349,RVD-220320-0102854,되게 부드럽게 잘 지워져서 자극없이 세안가능해요,1
G,P11,S37,105349,RVD-220320-0102854,꿀템입니다,0
G,P11,S37,105349,RVD-220320-0102854,사랑해요,0
G,P11,S37,133521,RVD-220320-0102852,일단 처음에 용기가 고급스럽고 요즘느낌이 나서 포장 뜯을때 엄청 기분이 좋았어요순해서 세정력 별로 없을 줄 알았는데 클리오 마스카라까지 싹 지워주더라고요 너무 물 같지도 않아서 좋았고 스팀타올 한다음에 피지제거 해줘봤을때도 꽤 잘 빠져서 만족합니다향은 뭔지 모르겠네요,1
G,P11,S37,133521,RVD-220320-0102852,어떤 향이지부담스럽진 않아요,2
G,P11,S37,133521,RVD-220320-0102851,묽고 좋아요,0
G,P11,S37,133521,RVD-220320-0102851,개인적으로 오일 특유의 끈적임을 좋아하지는 않는 편인데 거슬리지 않고 순한 거 같아요,1
G,P11,S37,133521,RVD-220320-0102851,아직 많이 사용해보지는 않았지만 전반적으로 깔끔합니다 ㅎㅎ,2
G,P11,S37,133521,RVD-220320-0102851,무엇보다 용량이 꽤나 크네요,0
