SITE_GUBUN,PART_GROUP_ID,PART_SUB_ID,PART_ID,KEYWORD_GUBUN,RLT_VALUE_01,RLT_VALUE_02,RLT_VALUE_03,RLT_VALUE_04,RLT_VALUE_05,RLT_VALUE_06,RLT_VALUE_07,RLT_VALUE_08,RLT_VALUE_09,RLT_VALUE_10
N,P07,S01,12374645451,0,감사합니다,저렴하게,가볍게,촉촉하고,발림성,4.94,4.81,3.78,3.62,2.49
N,P07,S01,12374645451,1,매번 쓰던건데 다른거 써보니 이제품 좋다는걸 알겠더군요,커버력발림성사계절내내 쓰기 다 맞고 무난하고 가격까지 착해서너무 좋습니다,싼가격에 이정도면 가성비 갑갑갑,가볍게 집앞나갈때 운동갈때 최고 가벼운데 커버력있어요,아주잘발려요,,,,,
N,P07,S01,12139286236,0,커버,발림성,비비,만족,있어요,4.62,3.88,3.74,2.89,2.83
N,P07,S01,12139286236,1,그런데 좀 씁쓸한거는 블랙프라이데이 행사로 80이상 할인 된 가격과  네이버에 검색해서 판매되는 가격과 큰 차이가 없다는 것 이건 제 불찰이죠,커버력도 있구요,만족해요,몇개째 쓰는 제품  하루종일촉촉하고  매끈하며  모공도 가려주고  커버력도 좋아요,요즘 임신준비하면서 피부가 완전 뒤집혔었는데조금 진정된 느낌이에여,,,,,
N,P11,S37,82194395299,0,눈이,재구매,있어요,눈에,다래끼,17.99,15.55,8.35,7.66,6.48
N,P11,S37,82194395299,1,추천합니당  눈 관리에 좋아요,안구건조가 심해서 뻑뻑했는데 며칠 닦아주면 없어져서 눈이 너무 편해요그리고 패드가 넉넉해서 좋습니다,배송 빠르게 잘 왔어요,재구매약국보다 저렴하고 좋으네요,재구매밤에 안연고 넣고자면 아침에 꼭 오큐소프트오 닦아줘야해요,,,,,
N,P10,S31,29300383619,0,촉촉,있어요,건조,조성아,향도,13.85,5.66,5.14,4.97,4.3
N,P10,S31,29300383619,1,근데 발림성이 정말 좋은건지는 잘 모르겠어요,깔끔하게 안발리고 약간 뭉탱이로발립니다,광택이 나서 보는 사람들 이  피부가 좋아졌다고 하네요,농축되어 있는 느낌 광택도 나고 수시로 바릅니다,너무 편하고 좋아요,,,,,
N,P07,S01,82026088598,0,만족합니다,감사합니다,좋습니다,저렴하게,있어요,4.57,3.76,3.74,3.31,2.76
N,P07,S01,82026088598,1,잘받았습니다,출시부터 지금까지 꾸준히 쓰는 제품이라제품은 평가할게 없네요저렴한 가격 좋습니다,맨날 쓰는 제품 저렴하게 잘 샀어요,자연스러운 화장이 조아요에,재구매좋은 제품입니다,,,,,
N,P07,S01,8461144790,0,만족합니다,좋습니다,커버,가격,저렴하게,5.25,3.33,3.16,3.16,3.05
N,P07,S01,8461144790,1,저렴하구좋아요,가볍게 쓰기 너무 좋습니다,피부톤에 가까운 색상 부드럽게 발라집니다,예전에 오래 썼는데 이 만한 제품이 없는거 같아요,유용하게 쓸게요 감사합니다,,,,,
N,P10,S02,9273983533,0,피지오겔,좋습니다,촉촉,저렴하게,있어요,24.25,13.31,13.28,11.33,10.78
N,P10,S02,9273983533,1,몇년째 피지오겔만 쓰고있어요,잘 산거 같아요,이맘때 늘 주문하는 제품이라 만족합니다,전에 다른곳에서 잘못 주문해 망했었는데 요번에 넘잘사서 잘쓰고있어요,보습도 좋고 흡수력도 좋습니다로션 자체도 순해서 피부 트러블도 없습니다예전부터 사용했는데 이 제품 이상의 제품은 아직 찾지 못했습니다수고하세요,,,,,
N,P06,S08,26332472522,0,속눈썹,영양제,효과,눈에,눈이,16.05,4.46,4.22,3.06,2.77
N,P06,S08,26332472522,1,작고앙증맞아요,속눈썹펌을해서 그후로 속눈썹  영양제에 관심이 많아요,좋을거같아요,속눈썹 길이가 길어지고 풍성해지는건 말할것도 없구요,제품성분도 마음에 들고 향도 은은하고 끈적임 없이 좋다고 하네요만족입니다,,,,,
N,P08,S13,29519677619,0,좋아,향도,손이,향이,핸드,25.87,24.6,19.38,15.87,15.53
N,P08,S13,29519677619,1,모임에 들고갔다,이건 오자마자 바로 뜯어 썻는데 흡수 빨라요 미끌거리는 느낌도 없고 손이 건조하면 당기는 느낌이 먼저 드는데 이거 바르면 다른 핸드크림이랑 확연한 차이를 느낄수 있어서 유목생활 접게됐네요,향도 은은하게 너무 좋고 발림성이나 촉촉하밍 오래가서 잘 사용하고 있어요,겨울 필수템 핸드크림 요거 대만족 바르고 나도 끈적임없이 잘 흡수되고 향도 좋아요,바르고 나서 답답한 감없이 흡수도 잘되고 촉촉하니 좋네요,,,,,
N,P04,S43,24978272522,0,피부가,각질,옥용팩,저렴하게,만족,12.46,5.61,5.56,4.31,3.9
N,P04,S43,24978272522,1,노페물이 쏙 빠져 나가서 피부가 깨끗해요,스킨로션까지 바른후에 옥용팩 바르면 떼어낼때 자극도없고 좋습니다,우선 배송이 정말 빠르고 제품은 받아서 사용해보니 피부도 촉촉해지고 각질케어도 잘되어서 정말 만족합니다,일단 각질제거가 잘 되는지는 모르겠어요,엄마꺼 써보고 좋아서 두개 구매해서 엄마하나 저하나 써요,,,,,
N,P07,S42,23057725490,0,아이오페,커버,저렴하게,만족,엄마가,4.15,2.66,2.64,2.58,1.55
N,P07,S42,23057725490,1,추천해요,아이오페 제품 만족합니다,오랬동안 사용하는 제품이예요,몇년째 이 제품만 쓰고 있어요,리뉴얼된 아이오페는 너무 비싸요  배송은 빠르게 잘 되었구요,,,,,
N,P07,S15,18033946247,0,발색,색이,예뻐요,색상,가격에,6.9,6.62,5.88,4.55,3.71
N,P07,S15,18033946247,1,너무 마음에 들어요,색깔도 다 예쁘구 발림성도 좋구 맘에들어요,무난하니 괜찮아요,크림 블러셔 오랜만인데 위에 손으로 얹었을때 피부화장이 벗겨지지 않고 잘 발색되네요,색이 아주 예쁩니다,,,,,
N,P07,S15,22954573491,0,발색,색이,예뻐요,색상,네이밍,8.56,6.46,6.36,6.17,3.88
N,P07,S15,22954573491,1,여쿨라 추천템이래서 샀어요,흰끼가 많아서 발색이약해요,괜찮아요,진짜 마음에 들어요,유튜버 추천으로 샀는데 봄웜톤에게 찰떡입니다,,,,,
N,P08,S35,17971378315,0,피부가,플루,각질,저렴하게,스크럽,12.8,8.05,7.29,7.27,7.14
N,P08,S35,17971378315,1,플루 예전에 써보고 화장품 시키면서 같이 주문합니다,싸게사서 기대크게안했는데 올영에서 산거랑 다름을모르겠어요,주12회 스크럽해주면 피부가 매끈해져요,가격대비 괜찬네요,가격도 싸고 배송도 빠르고 만족스러워요,,,,,
N,P05,S07,12804527157,0,색상,예뻐요,색이,들어요,발색,11.65,9.36,8.92,8.46,6.74
N,P05,S07,12804527157,1,아침에 바르고 점심시간에 마스크 처음,쿨톤에 은근 잘어울려요,항상 쓰던거 입니다,발림성 정말 벨벳처럼 부드러워요색상이 진해서 그런가 오래유지돼요 밥먹고했을때 다른틴트들보다 지워짐이덜해요,좀 진한가 싶었는데 입술 위에 올라가니까 자연스럽고 예쁘게 발색됩니다,,,,,
N,P07,S41,29503122619,0,팩트,블러,유분기,뽀송,마무리,14.84,6.59,5.86,5.66,5.38
N,P07,S41,29503122619,1,들뜨지도 않구요크기도 작아 휴대하기 편하고 가격대비 만족합니다,프라이먼줄  사이즈도 앙증맞아 가방속에 쏘옥 넣고 다니기 좋아요가까운곳 나갈때 간단하게톡톡 발라주면 끝다쓰면 또 사러올게요,패키징도 너무 이뻐져서 만족하고요 이마랑 T존이 번들번들 거리고 이마라인에 붙어있는 앞머리도 떡질때 톡톡 쳐주면 보송보송해지고 너무 좋아요,리뉴얼 돼서 좋아요패키지가 더 심플해지고 휴대성도 좋아졌어요코시국에 파데만하면 마스크 묻어남이 있는데요거 브러쉬로 휙휙해주면 뽀송해져서 좋아요,컴팩트한 사이즈라 미니백에 쏙 들어가서 수정도 이거 하나로 끝냅니다,,,,,
N,P07,S33,17580795131,0,커버,루나,대용량,만족,용량,15.3,9.68,6.67,5.27,5.12
N,P07,S33,17580795131,1,커버력짱,커버 잘된다고해서 구입,루나컨실러는 몇년째 쓰고있는 제품으로 항상 한달정도되면 다써버려서 대용량있으면 좋겠다고 생각했는데 인터넷에 팔고 있는 줄은 몰랐네용 검색하다가 우연히 발견해서 두개 시켜봤는데 오래쓸거같아요,포니컨실러가괜찮아서계속그것만쓰다가가격이넘오르고양도적고 혹시나하고구매해봤는데쫀쫀하고꾸덕하고커버도잘되고 가격도감사하고양도많고잘바꾼거같아요,그냥 인생템입니다,,,,,
N,P07,S14,29450817618,0,마스크에,커버,만족,네오,라네즈,9.58,6.59,6.28,5.65,5.19
N,P07,S14,29450817618,1,기존 광 제품 파운데이션이랑 섞어서 쓰면 적당히 촉촉해서 좋고팩트는 차에 두고 수정하거나 비상시 용도로 쓰고잇어요,마스크 쓸 때 아주 맘 편하게 해주는 아이템 하지만 역시 파운데이션은비추입니다,추천으로 구매 해 봤습니다수분부족형 지성  유분은 엄청 많은 피부인데 여름에 잘 썼고 초겨울인 지금도 매우 잘 쓰고 있습니다,사용해보았는데  아주 만족스러워요,저 같은 타입이 21N 사용 많이 하길래 저도 이걸로 구매했어요,,,,,
N,P04,S09,17423156227,0,진정,저렴하게,아비브,촉촉,재구매,9.37,7.6,5.78,5.43,4.12
