SITE_GUBUN,REVIEW_DOC_NO,PART_ID,DOC_PART_NO,CLASSIFY,EMPATHY,EMPATHY_SCORE
N,RVD-220323-0063191,29298122618,0,12,만족,4
N,RVD-220323-0063190,29298122618,0,03,싫음,1
N,RVD-220323-0063188,29298122618,0,12,고마움,4
N,RVD-220323-0063187,29298122618,0,12,만족,4
N,RVD-220323-0063185,29298122618,0,12,바람,4
N,RVD-220323-0063186,29298122618,0,12,만족,4
N,RVD-220323-0063184,29298122618,0,02,행복,5
N,RVD-220323-0063183,29298122618,0,12,안타까움,2
N,RVD-220323-0027187,15557524473,0,12,중립,3
N,RVD-220323-0027186,15557524473,0,12,만족,4
N,RVD-220323-0027185,15557524473,0,12,기쁨,5
N,RVD-220323-0027184,15557524473,0,12,만족,4
N,RVD-220323-0027183,15557524473,0,12,싫음,1
N,RVD-220323-0027182,15557524473,0,12,만족,4
N,RVD-220323-0027181,15557524473,0,12,중립,3
N,RVD-220323-0000415,12191700798,0,12,중립,3
N,RVD-220323-0000413,12191700798,0,12,자신감,5
N,RVD-220323-0000414,12191700798,0,12,중립,3
N,RVD-220323-0000412,12191700798,0,03,만족,4
N,RVD-220323-0000411,12191700798,0,12,미안함,2
N,RVD-220323-0111099,5378259262,0,12,고마움,4
N,RVD-220323-0111100,5378259262,0,12,만족,4
N,RVD-220323-0111098,5378259262,0,12,즐거움,5
N,RVD-220323-0111097,5378259262,0,12,기쁨,5
N,RVD-220323-0111096,5378259262,0,12,싫음,1
N,RVD-220323-0111095,5378259262,0,12,중립,3
N,RVD-220323-0111093,5378259262,0,12,중립,3
N,RVD-220323-0111094,5378259262,0,12,만족,4
N,RVD-220323-0111091,5378259262,0,12,바람,4
N,RVD-220323-0111092,5378259262,0,12,중립,3
N,RVD-220323-0111090,5378259262,0,12,즐거움,5
N,RVD-220323-0000153,11234530489,0,12,중립,3
N,RVD-220323-0000152,11234530489,0,12,만족,4
N,RVD-220323-0000151,11234530489,0,12,실망,1
N,RVD-220323-0048899,15344478552,0,12,중립,3
N,RVD-220323-0048900,15344478552,0,12,만족,4
N,RVD-220323-0048898,15344478552,0,12,중립,3
