SITE_GUBUN,PART_GROUP_ID,PART_SUB_ID,PART_ID,KEYWORD_GUBUN,KEYWORD_POSITIVE,RLT_VALUE_01,RLT_VALUE_02,RLT_VALUE_03,RLT_VALUE_04,RLT_VALUE_05,RLT_VALUE_06,RLT_VALUE_07,RLT_VALUE_08,RLT_VALUE_09,RLT_VALUE_10
N,P06,S26,21645607506,0,P,케이트,좋습니다,얇아서,펜슬,만족,7.96,7.4,5.65,5.35,5.28
N,P06,S26,21645607506,1,P,부드럽게 잘발리고  발색 오래유지되고 번짐적어요,상품 품질이 좋습니다,세가지 색상 모두 구매했어요,좋다고 해서 함 사봤어요,항상 쓰던제품이에요,,,,,
N,P06,S26,21645607506,0,N,얇아서,부러,그리,부드럽게,케이트,4.45,3.26,3.16,3.13,2.67
N,P06,S26,21645607506,1,N,정말 조아요,매번 이것만 써요,다른데 부드럽게 그려진다고 하는거 샀는데 죄다 뻑뻑하던가 너무 잘 지워지던가 했는데 이건 진짜,지속력과 얇기 따라올상품이 없네요,원래 계속 토xx리꺼 쓰다가 갈아타봤어요깔끔하고 쉽게 잘그려져서 시간 단축되고너무 좋아요,,,,,
N,P10,S31,23447387490,0,P,모공,효과,촉촉,피부가,재구매,21.31,13.54,8.66,7.54,7.14
N,P10,S31,23447387490,1,P,빠른배송 좋네요,광고로  접하게  되어서  써봤는데  너무 좋아서  재구매  했어요,발림성도 좋고 흡수력도 좋아요,좋아요,광고처럼 효과만점이길,,,,,
N,P10,S31,23447387490,0,N,모공이,피부가,효과는,모르겠,촉촉해요,11.3,5.19,4.34,3.76,2.29
N,P10,S31,23447387490,1,N,발림성도 찐득하거나 부담스럽지 않게 촉촉한 정도라 괜찮네요,향도 좋고 생각보다 무겁지 않아서 좋아요,앰플 하나오는데 일주일 늦는다는 사전 연락한통없는게 진짜 아닌거같고 샘플한장도 없이 제품 딸랑 보낸것도 별로네요,아직은 잘모르겠어요,꾸준히 발라야지만 생각하고 바르고 있는데 뭔 효과인지는 잘 모르겠어요,,,,,
N,P12,S40,22177336485,0,P,재구매,좋습니다,머릿결,만족,저렴하게,4.93,4.71,4.44,4.21,3.64
N,P12,S40,22177336485,1,P,간편함,늘 재주문해요,만족합니다,감사합니다,꾸준히 쓰고있어요,,,,,
N,P12,S40,22177336485,0,N,머리결이,좋아,부드러워,머릿결이,불편,6.83,2.78,2.76,2.69,1.54
N,P12,S40,22177336485,1,N,좋아요,좋아 파란색보다 별로다 하는 리뷰들이 많아서 걱정은 했는데 음 저는 비슷비슷한 것 같아요,쓰니까 머릿결이 엄청 부드러워지네요,배송늦게올줄알았는데 엄청빠른데요,나왔던것보다 업그레이드된 프리미엄인지는 잘 모르겠어요,,,,,
N,P11,S38,21429651189,0,P,향도,비누,향이,좋습니다,저렴하게,13.24,12.79,9.34,8.51,8.41
N,P11,S38,21429651189,1,P,늘 쓰던거에요,플라스틱 쓰레기 줄이기와 수질 환경을  위해 샴푸  바디 워시 대신 사용한 지 오래 되었어요,향도 괜찮고 무난해서 계속 사서 이용하고 있습니다,도브 비누 중 몇년째 쓰는제품입니다,자극없이 순해서 좋습니다,,,,,
N,P11,S38,21429651189,0,N,비누,향이,향도,거품,순하고,6.6,4.81,3.25,2.96,2.85
N,P11,S38,21429651189,1,N,부드러워요,온가족,향도 좋고 배송도 빠르고 좋아요,샴푸랑 바디워시 안 써보려고 구입했어요,싸게 잘샀어요,,,,,
N,P11,S37,19533607707,0,P,지워,자극,순하고,눈에,리무버,18.8,14.98,13.61,12.53,11.11
N,P11,S37,19533607707,1,P,자극이 없고 잘 지워지고 넘 좋아요,재구매에요,자극이 없고 정말 잘 지워집니다,사용하는 리무버중에 서 좋아요,세정력도 좋고 저자극이여서 사용하기 너무 편해요,,,,,
N,P11,S37,19533607707,0,N,순하고,눈에,지워,자극,일리윤,11.3,8.96,8.43,7.46,6.81
N,P11,S37,19533607707,1,N,이것만큼 눈자극이 없는 상품은 아직 못만나봣어요,아이리무버 요것만 써요,립앤아이 리무버는 이것만 지금 한 4년째 쓰고 있는것 같은데 다른것도 써봤는데 다른건 너무 자극이 심해요,세정력 갑,진짜 몇년을 몇통을 썼는지 몰라요계속 이건만 쓰고있어요대용량 바뀐 패키지 처음,,,,,
N,P07,S45,82212495037,0,P,쉐딩,좋습니다,만족,발색,저렴,22.18,10.65,10.24,9.6,9.1
N,P07,S45,82212495037,1,P,저렴하게 구매했고 꼼꼼히 포장해주셨네요,아주 만족스러워요,흰색은 처음,항상 잘 쓰고있는 제품입니다,쿨 쉐딩으로 추천 받아서 구입했어요,,,,,
N,P07,S45,82212495037,0,N,쉐딩,발색,자연스,색이,가격,9.05,2.82,2.53,2.16,2.12
N,P07,S45,82212495037,1,N,제가 사용을 잘 못하는거겠지만 화장할때 아직 먼가 뭉치는 기분이 들어요,재구매했어요,자꾸 브러쉬가 닿아서 그런지 자꾸 부서지는 게 아쉬워요,아나 클래식 사야되는데 모던으로 잘못 주문했어요,사자마자 다른데서 더 싸게 파네요,,,,,
N,P07,S01,82894890779,0,P,가성비,제품입니다,비비크림,커버력,사용하고,1.19,1.17,1.09,0.85,0.81
