SITE_GUBUN,PART_GROUP_ID,PART_SUB_ID,PART_ID,REVIEW_DOC_NO,REVIEW,LABELING,SPLIT_NO
G,P12,S40,155075,RVD-220323-0138481,이거 향 너무너무 좋아요,[],1
G,P12,S40,155075,RVD-220323-0138481,은은한 꽃향이 나구   지속력도 꽤 되는것 같아요,"[('지속력', '지속'), ('향', '향이'), ('향', '은은한')]",2
G,P12,S40,155075,RVD-220323-0138481,향이 너무 진하면 멀미나는데 멀미도 안 나고 좋습니다 ㅎㅎ,"[('향', '향이')]",3
G,P12,S40,155075,RVD-220323-0138481,머리 하루만 안 감아도 떡지는 지성두피라서 에센스는 잘 안 바르게 됐었어요,"[('효과', '두피')]",4
G,P12,S40,155075,RVD-220323-0138481,드라이만 해줘도 머리끝은 손상이 심해서 전체적으로 머리결이 많이 상하더라구요,[],5
G,P12,S40,155075,RVD-220323-0138481,이거는 처음에 좀 리치하게 발리는가 싶었는데 흡수되면 산뜻한 느낌이었어요,"[('발림성', '발리'), ('보습력', '흡수'), ('끈적임', '산뜻')]",6
G,P12,S40,155075,RVD-220323-0138481,열 손상 보호가 되는 정도의 리치함과 수분감이 있어서 좋았습니다,"[('보습력', '수분')]",7
G,P12,S40,155075,RVD-220323-0138481,드라이 하기전에 발라주는 거라서 머리가 더 빨리 마르는 느낌도 있었어요,"[('발림성', '발라')]",8
G,P12,S40,155075,RVD-220323-0138481,머리결이 부드러워지고 향도 좋아서 넘 추천합니다,"[('향', '향도')]",9
G,P12,S40,155075,RVD-220323-0138480,파마와 탈색 그리고 염색으로 인해 상해 있는 머릿결입니다,"[('효과', '머릿결')]",1
G,P12,S40,155075,RVD-220323-0138480,원래 미용실에서 준 영양제를 바르고 말리는데 평가단에 당첨돼서 이 제품을 사용해 봤는데 정말 만족합니다,"[('효과', '영양')]",2
G,P12,S40,155075,RVD-220323-0138480,말리고 나서도 푸석푸석하지 않고 적당히 잘 빗기게 해줘요,[],3
G,P12,S40,155075,RVD-220323-0138480,향도 괜찮아서 좋았습니다,"[('향', '향도')]",4
G,P12,S40,155075,RVD-220323-0138479,저는 매직이랑 염색을 주기적으로 해서 머리결이 많이 약해져서 자주 끊어지고 상한 상태여서 에센스가 꼭 필수인 머리에요,[],1
G,P12,S40,155075,RVD-220323-0138479,이 제품은 머리 말리기 전에 바르고 말리면 되는데 말리고 나면 떡져 있을까 걱정했는데 전혀 그러지 않고 산뜻하게 마무리 되더라구요,"[('끈적임', '산뜻')]",2
G,P12,S40,155075,RVD-220323-0138479,그래서 편해서 좋아요,"[('기타', '편해')]",3
G,P12,S40,155075,RVD-220323-0138479,그리고 무엇보다 향이 은은하게 남아있어서 따로 향수을 안 뿌려도 되서 너무 좋아요,"[('향', '향이')]",4
G,P12,S40,155075,RVD-220323-0138479,에센스 바르고 나면 머리아프게 향기가 남는 경우도 있는데 이 제품은 그러지 않고 은은하게 나서 너무 좋더라구요,"[('향', '향기')]",5
G,P12,S40,155075,RVD-220323-0138479,머리에 정전기도 안 일어나고 딱 가라앉아 있어서 너무 좋아요,[],6
G,P12,S40,155075,RVD-220323-0138478,남성 손상모 드라이 스타일링 자주 하는 편따뜻한 느낌의 은은한 플로럴 향이 나는 에센스 사용할 때 바로 수분감이 촉촉하게 느껴지며 발림성이 좋았고 사용 후 잔여감이나 두꺼운 코팅감이 없어서 스타일링 할 때 거슬리는 점이 없는 게 장점  기본적으로 에센스이기 때문에 사용 시 전체적으로 모발이 정돈되고 머릿결이 좋아보인다,"[('발림성', '발림'), ('보습력', '수분'), ('보습력', '촉촉'), ('효과', '머릿결'), ('향', '향이'), ('향', '은은한')]",1
G,P12,S40,155075,RVD-220323-0138478,보다나 브랜드가 고데기로 유명하다보니 열에 의한 모발 손상을 많이 케어해줄 것 같은 믿음이 드는데 요즘 자주 열을 가해 드라이를 하는데도 머릿결이 크게 상하지 않는 거 보면 꽤 효과가 있다고 느껴진다,"[('효과', '머릿결'), ('효과', '효과')]",2
G,P12,S40,155075,RVD-220323-0138478,그리고 패키지가 예쁘다 손이 잘 가고 큰 단점이 없는 제품이었다,[],3
G,P12,S40,155075,RVD-220323-0138478,드라마틱한 개선을 기대하기 어렵지만 단순히 헤어 에센스로 그런 건 어떤 제품이건 가능하지 않기에 가벼운 헤어 에센스를 선호한다면 추천 잦은 드라이 고데기 등 스타일링을 하는 손상모에도 추천,"[('효과', '개선')]",4
G,P11,S37,154606,RVD-220323-0138475,처음에는 사과사탕향이 나는데 씻고나서는 점점 식초향같은 이상한 인공향이 조금 신경쓰였어요메이크업은 잘 지워졌지만 피지제거는 잘되지않아 피지가 쌓여 피부가 거칠어졌어요,"[('거품력', '지워'), ('향', '향이')]",1
G,P11,S37,154606,RVD-220323-0138475,따로 피지제거 해줬습니다특히 코쪽 피지가 잘 녹여지지 않았어요재구매 의사는 없고 빨리써서 없애려고 듬뿍사용중입니다,[],2
