분석날짜	분석모델	분석제품수	총 리뷰수	분석시간	site_gubun	스플릿된 리뷰수	분석 리뷰수
220323_100328	classify_20220322기준_top5_pt	211	2642	575.429484128952	N		2642	
220323_103906	total_key	160	311038	1560.7587571144104	N	
220323_103939	total_key	159	314283	1591.5088784694672	N	
220323_104028	total_key	160	319195	1641.8150887489319	N	
220323_105947	emo_key	160	223344	1153.5790722370148	N	
220323_105957	emo_key	159	226464	1160.43430185318	N	
220323_110053	emo_key	160	231330	1218.0129351615906	N	
220323	naver_total_analy	-	-	4372.376311540604	
220323_162130	glowpick_split_review	153	412	0.06730582316716512	G	1369	876	
220323_162457	classify_pt	-	412	207.46648979187012	G	1369	-	Windows/DESKTOP-QADVBL2	
220323_162830	total_key	395	39959	143.14068245887756	G	-	-	Windows/DESKTOP-QADVBL2	
220323_162838	total_key	396	43354	151.79001092910767	G	-	-	Windows/DESKTOP-QADVBL2	
220323_162852	total_key	395	47097	165.60877776145935	G	-	-	Windows/DESKTOP-QADVBL2	
220323_163018	emo_key	395	23030	83.46192860603333	G	-	-	Windows/DESKTOP-QADVBL2	
220323_163023	emo_key	396	24865	88.65888285636902	G	-	-	Windows/DESKTOP-QADVBL2	
220323_165105	glowpick_split_review	1	4	0.0013332525889078776	G	23	17	
220323_165110	classify_pt	-	4	4.593100547790527	G	23	-	Windows/DESKTOP-QADVBL2	
220323_165403	total_key	395	40251	163.32397723197937	G	-	-	Windows/DESKTOP-QADVBL2	
220323_165412	total_key	396	42838	172.20577144622803	G	-	-	Windows/DESKTOP-QADVBL2	
220323_165425	total_key	395	47321	185.199946641922	G	-	-	Windows/DESKTOP-QADVBL2	
220323_165557	emo_key	395	23234	89.37427306175232	G	-	-	Windows/DESKTOP-QADVBL2	
220323_165602	emo_key	396	24605	94.2730278968811	G	-	-	Windows/DESKTOP-QADVBL2	
220323_193637	emo_key	1185	75174	291.55518794059753	G	-	-	Windows/DESKTOP-QADVBL2	
220323_194005	glowpick_split_review	1	4	0.001307388146718343	G	23	17	
220323_194010	classify_pt	-	4	4.83181095123291	G	23	-	Windows/DESKTOP-QADVBL2	
220323_194255	total_key	395	39177	156.58839058876038	G	-	-	Windows/DESKTOP-QADVBL2	
220323_194312	total_key	396	43546	173.0927333831787	G	-	-	Windows/DESKTOP-QADVBL2	
220323_194324	total_key	395	47687	185.31788659095764	G	-	-	Windows/DESKTOP-QADVBL2	
220323_194923	emo_key	1185	75174	356.1054186820984	G	-	-	Windows/DESKTOP-QADVBL2	
220323_194925	emo_key	1185	75174	358.5800664424896	G	-	-	Windows/DESKTOP-QADVBL2	
220323_194926	emo_key	1185	75174	359.5927698612213	G	-	-	Windows/DESKTOP-QADVBL2	
220323	glowpick_all	-	-	891.8880598545074	-	-	-	Windows/DESKTOP-QADVBL2	
220323_202135	total_key	160	261059	1239.863341808319	N	-	-	Windows/DESKTOP-QADVBL2	
220323_202312	total_key	160	287698	1336.1224427223206	N	-	-	Windows/DESKTOP-QADVBL2	
220323_203125	total_key	159	395759	1827.8318855762482	N	-	-	Windows/DESKTOP-QADVBL2	
220323_204634	emo_key	160	188356	904.0123865604401	N	-	-	Windows/DESKTOP-QADVBL2	
220323_204800	emo_key	160	207521	988.3334558010101	N	-	-	Windows/DESKTOP-QADVBL2	
220323_205357	emo_key	159	285261	1343.586814403534	N	-	-	Windows/DESKTOP-QADVBL2	
2022-03-23 20:53:57	naver_keys	-	-	3188.7646613121033	N	-	-	Windows/DESKTOP-QADVBL2	
220323	naver_key_all	-	-	3596.8305950164795	-	-	-	Windows/DESKTOP-QADVBL2	
220323_213941	total_key	159	295526	1428.463917016983	N	-	-	Windows/DESKTOP-QADVBL2	
220323_214043	total_key	160	314756	1492.5381872653961	N	-	-	Windows/DESKTOP-QADVBL2	
220323_214230	total_key	160	334234	1600.1938047409058	N	-	-	Windows/DESKTOP-QADVBL2	
220323_220019	emo_key	159	214367	1061.1694555282593	N	-	-	Windows/DESKTOP-QADVBL2	
220323_220041	emo_key	160	227258	1084.4535827636719	N	-	-	Windows/DESKTOP-QADVBL2	
220323_220154	emo_key	160	239513	1159.8210763931274	N	-	-	Windows/DESKTOP-QADVBL2	
220323	naver_total_analy	-	-	3413.5745964050293	-	-	-	Windows/DESKTOP-QADVBL2	
